time,seconds,altitude,speed
00:44:34,7.333333333333333,110,26685
00:44:41,14.632407777777777,109,26689
00:44:49,21.89738337944259,108,26694
00:44:56,29.12841943675496,107,26698
00:45:03,36.32567450395292,106,26702
00:45:10,43.48930639456195,105,26707
00:45:17,50.619472184855354,104,26711
00:45:25,57.71632821729843,103,26715
00:45:32,64.78003010397661,102,26719
00:45:39,71.81073273000753,101,26723
00:45:46,78.80859025693718,100,26727
00:45:53,85.77375612612019,99,26731
00:45:59,92.70638306208434,98,26735
00:46:05,99.6066230758793,98,26737
00:46:12,106.47462746840982,97,26741
00:46:18,113.31054683375324,96,26743
00:46:25,120.11453106246155,95,26747
00:46:33,126.88672934484809,94,26749
00:46:39,133.62729017425875,93,26752
00:46:46,140.336361350328,92,26754
00:46:53,147.0140899822197,91,26755
00:47:00,153.6606224918528,90,26756
00:47:06,160.27610461711168,89,26757
00:47:13,166.86068141504208,88,26756
00:47:19,173.41449726503149,87,26755
00:47:26,179.937695871975,86,26752
00:47:32,186.43042026942643,85,26748
00:47:39,192.8928128227344,85,26743
00:47:43,199.32501523216422,84,26740
00:47:52,205.72716853600463,83,26729
00:47:58,212.09941311366057,82,26720
00:48:04,218.44188868873127,81,26709
00:48:11,224.75473433207378,80,26695
00:48:17,231.03808846485245,80,26680
00:48:23,237.29208886157414,79,26662
00:48:28,243.51687265310917,78,26646
00:48:34,249.71257632969807,77,26620
00:48:42,255.8793357439445,77,26586
00:48:48,262.01728611379406,76,26552
00:48:54,268.1265620254991,75,26515
00:49:00,274.20729743657,74,26472
00:49:06,280.25962567871215,74,26424
00:49:12,286.2836794607498,73,26373
00:49:18,292.2795908715356,73,26315
00:49:24,298.24749138284744,72,26250
00:49:30,304.1875118522706,72,26165
00:49:36,310.09978252606743,71,26098
00:49:42,315.9844330420331,71,26015
00:49:48,321.8415924323384,70,25924
00:49:54,327.6713891263587,70,25827
00:50:00,333.47395095349003,70,25728
00:50:05,339.2494051459523,70,25622
00:50:11,344.9978783415788,69,25515
00:50:17,350.71949658659304,69,25405
00:50:22,356.4143853383727,69,25294
00:50:28,362.08266946820027,69,25182
00:50:34,367.72447326400135,69,25071
00:50:39,373.3399204330697,69,24960
00:50:45,378.9291341047799,68,24852
00:50:50,384.49223683328705,68,24744
00:50:56,390.02935060021423,68,24639
00:51:02,395.5405968173269,68,24535
00:51:07,401.02609632919524,68,24436
00:51:12,406.48596941584407,68,24335
00:51:18,411.9203357953897,68,24234
00:51:23,417.3293146266656,68,24137
00:51:29,422.7130245118347,68,24042
00:51:34,428.07158349899026,68,23948
00:51:39,433.40510908474414,68,23859
00:51:45,438.7137182168033,68,23772
00:51:50,443.99752729653375,68,23689
00:51:55,449.2566521815134,68,23606
00:52:00,454.4912081880721,68,23526
00:52:06,459.70131009382015,68,23446
00:52:11,464.8870721401652,68,23369
00:52:16,470.04860803481705,68,23291
00:52:21,475.186030954281,68,23214
00:52:26,480.29945354633963,68,23139
00:52:31,485.38898793252235,68,23065
00:52:36,490.4547457105643,68,22991
00:52:41,495.496837956853,68,22919
00:52:46,500.5153752288646,68,22848
00:52:52,505.51046756758717,68,22777
00:52:56,510.4822244999339,68,22707
00:53:01,515.4307550411451,68,22641
00:53:06,520.3561676971779,68,22574
00:53:11,525.2585704670859,68,22508
00:53:16,530.1380708453871,68,22440
00:53:21,534.9947758244211,68,22373
00:53:26,539.8287918966947,68,22305
00:53:30,544.6402250572173,68,22242
00:53:35,549.429180805825,67,22168
00:53:40,554.1957641494938,67,22100
00:53:45,558.9400796046422,67,22032
00:53:50,563.6622311994225,67,21963
00:53:54,568.3623224760025,67,21893
00:53:59,573.0404564928355,66,21823
00:54:04,577.6967358269197,66,21750
00:54:08,582.3312625760483,66,21677
00:54:13,586.9441383610472,66,21600
00:54:18,591.5354643280039,65,21522
00:54:22,596.1053411504848,65,21441
00:54:27,600.6538690317434,65,21358
00:54:31,605.1811477069168,65,21281
00:54:36,609.6872764452127,64,21193
00:54:40,614.172354052086,64,21102
00:54:45,618.636478871406,64,21009
00:54:49,623.0797487876117,63,20914
00:54:54,627.502261227859,63,20817
00:54:58,631.9041131641562,63,20718
00:55:02,636.2854011154909,62,20617
00:55:07,640.6462211499463,62,20517
00:55:11,644.9866688868076,62,20413
00:55:14,649.3068394986581,62,20335
00:55:20,653.6068277134668,61,20201
00:55:24,657.8867278166654,61,20093
00:55:28,662.1466336532152,61,19999
00:55:32,666.3866386296652,61,19871
00:55:37,670.6068357162003,60,19756
00:55:41,674.8073174486794,60,19641
00:55:45,678.988175930665,60,19523
00:55:49,683.1495028354423,60,19401
00:55:53,687.2913894080294,59,19281
00:55:57,691.4139264671782,59,19162
00:56:02,695.5172044073657,59,19035
00:56:06,699.601313200776,59,18911
00:56:10,703.6663423992729,59,18786
00:56:14,707.7123811363643,59,18661
00:56:18,711.7395181291557,58,18534
00:56:22,715.7478416802957,58,18406
00:56:26,719.7374396799127,58,18281
00:56:30,723.7083996075413,58,18153
00:56:34,727.6608085340414,58,18026
00:56:38,731.5947531235066,58,17901
00:56:42,735.5103196351646,58,17773
00:56:45,739.407593925269,57,17662
00:56:49,743.2866614489815,57,17528
00:56:53,747.1476072622457,57,17403
00:56:57,750.9905160236523,57,17280
00:57:01,754.8154719962951,57,17160
00:57:05,758.6225590496191,57,17038
00:57:08,762.411860661259,57,16918
00:57:12,766.1834599188697,57,16797
00:57:16,769.9374395219488,57,16675
00:57:20,773.6738817836488,56,16557
00:57:23,777.3928686325829,56,16438
00:57:27,781.0944816146209,56,16319
00:57:31,784.7788018946779,56,16197
00:57:34,788.4459102584933,56,16075
00:57:38,792.0958871144024,56,15958
00:57:42,795.7288124950996,56,15838
00:57:45,799.3447660593935,56,15721
00:57:49,802.9438270939526,55,15599
00:57:53,806.5260745150455,55,15483
00:57:56,810.0915868702692,55,15365
00:58:00,813.6404423402736,55,15247
00:58:03,817.172718740474,55,15129
00:58:07,820.688493522758,54,15015
00:58:10,824.1878437771843,54,14896
00:58:14,827.6708462336719,54,14779
00:58:17,831.1375772636836,54,14661
00:58:21,834.5881128819001,54,14543
00:58:24,838.0225287478868,53,14425
00:58:27,841.440900167753,53,14320
00:58:31,844.8433020958026,53,14182
00:58:34,848.2298091361785,53,14059
00:58:38,851.6004955444972,53,13933
00:58:41,854.9554352294786,52,13808
00:58:44,858.2947017545648,52,13686
00:58:48,861.6183683395346,52,13558
00:58:51,864.9265078621085,52,13432
00:58:53,868.219192859546,52,13354
00:58:57,871.4964955302371,51,13185
00:59:01,874.758487735285,51,13055
00:59:04,878.0052410000816,51,12929
00:59:07,881.2368265158763,51,12802
00:59:10,884.4533151413362,50,12679
00:59:14,887.654777404101,50,12554
00:59:17,890.8412835023281,50,12426
00:59:20,894.012903306233,50,12301
00:59:23,897.1697063596207,49,12177
00:59:26,900.3117618814107,49,12050
00:59:29,903.4391387671548,49,11926
00:59:33,906.5519055905476,49,11796
00:59:36,909.6501306049304,48,11670
00:59:39,912.7338817447876,48,11543
00:59:42,915.8032266272365,48,11418
00:59:45,918.8582325535097,48,11295
00:59:48,921.8989665104306,48,11173
00:59:51,924.9254951718826,47,11047
00:59:54,927.9378849002713,47,10921
00:59:57,930.936201747979,47,10797
01:00:00,933.9205114588129,47,10673
